Time,generation(kWh),power(W)
2022-03-25 01:00:00,0.0,0.0
2022-03-25 02:00:00,0.0,0.0
2022-03-25 03:00:00,0.0,0.0
2022-03-25 04:00:00,0.0,0.0
2022-03-25 05:00:00,0.0,0.0
2022-03-25 06:00:00,0.0,0.0
2022-03-25 07:00:00,0.0,0.0
2022-03-25 08:00:00,0.19225,192.25
2022-03-25 09:00:00,0.6505,650.5
2022-03-25 10:00:00,1.039,1039.0
2022-03-25 11:00:00,1.2895,1289.5
2022-03-25 12:00:00,4.9855,4985.5
2022-03-25 13:00:00,2.582,2582.0
2022-03-25 14:00:00,4.1235,4123.5
2022-03-25 15:00:00,4.41025,4410.25
2022-03-25 16:00:00,3.55675,3556.75
2022-03-25 17:00:00,2.3005,2300.5
2022-03-25 18:00:00,0.8655,865.5
2022-03-25 19:00:00,0.0745,74.5
2022-03-25 20:00:00,0.0,0.0
2022-03-25 21:00:00,0.0,0.0
2022-03-25 22:00:00,0.0,0.0
2022-03-25 23:00:00,0.0,0.0
2022-03-26 00:00:00,0.0,0.0
2022-03-26 01:00:00,0.0,0.0
2022-03-26 02:00:00,0.0,0.0
2022-03-26 03:00:00,0.0,0.0
2022-03-26 04:00:00,0.0,0.0
2022-03-26 05:00:00,0.0,0.0
2022-03-26 06:00:00,0.0,0.0
2022-03-26 07:00:00,0.0,0.0
2022-03-26 08:00:00,1.1035,1103.5
2022-03-26 09:00:00,3.37975,3379.75
2022-03-26 10:00:00,9.2335,9233.5
2022-03-26 11:00:00,10.1125,10112.5
2022-03-26 12:00:00,11.09575,11095.75
2022-03-26 13:00:00,7.956,7956.0
2022-03-26 14:00:00,10.007,10007.0
2022-03-26 15:00:00,13.88575,13885.75
2022-03-26 16:00:00,7.904,7904.0
2022-03-26 17:00:00,5.68,5680.0
2022-03-26 18:00:00,1.0175,1017.5
2022-03-26 19:00:00,0.1475,147.5
2022-03-26 20:00:00,0.0,0.0
2022-03-26 21:00:00,0.0,0.0
2022-03-26 22:00:00,0.0,0.0
2022-03-26 23:00:00,0.0,0.0
2022-03-27 00:00:00,0.0,0.0
2022-03-27 01:00:00,0.0,0.0
2022-03-27 02:00:00,0.0,0.0
2022-03-27 03:00:00,0.0,0.0
2022-03-27 04:00:00,0.0,0.0
2022-03-27 05:00:00,0.0,0.0
2022-03-27 06:00:00,0.0,0.0
2022-03-27 07:00:00,0.11425,114.25
2022-03-27 08:00:00,1.90675,1906.75
2022-03-27 09:00:00,3.8745,3874.5
2022-03-27 10:00:00,3.16625,3166.25
2022-03-27 11:00:00,4.62375,4623.75
2022-03-27 12:00:00,4.9685,4968.5
2022-03-27 13:00:00,3.6235,3623.5
2022-03-27 14:00:00,5.4815,5481.5
2022-03-27 15:00:00,6.23175,6231.75
2022-03-27 16:00:00,3.617,3617.0
2022-03-27 17:00:00,1.1115,1111.5
2022-03-27 18:00:00,0.3485,348.5
2022-03-27 19:00:00,0.0125,12.5
2022-03-27 20:00:00,0.0,0.0
2022-03-27 21:00:00,0.0,0.0
2022-03-27 22:00:00,0.0,0.0
2022-03-27 23:00:00,0.0,0.0
2022-03-28 00:00:00,0.0,0.0
2022-03-28 01:00:00,0.0,0.0
2022-03-28 02:00:00,0.0,0.0
2022-03-28 03:00:00,0.0,0.0
2022-03-28 04:00:00,0.0,0.0
2022-03-28 05:00:00,0.0,0.0
2022-03-28 06:00:00,0.0,0.0
2022-03-28 07:00:00,0.0,0.0
2022-03-28 08:00:00,0.347,347.0
2022-03-28 09:00:00,2.2065,2206.5
2022-03-28 10:00:00,4.001,4001.000000000001
2022-03-28 11:00:00,4.2435,4243.5
2022-03-28 12:00:00,6.913,6913.0
2022-03-28 13:00:00,5.8265,5826.5
2022-03-28 14:00:00,3.3555,3355.5
2022-03-28 15:00:00,1.70025,1700.25
2022-03-28 16:00:00,0.56025,560.25
2022-03-28 17:00:00,0.552,552.0
2022-03-28 18:00:00,0.24025,240.25
2022-03-28 19:00:00,0.00925,9.25
2022-03-28 20:00:00,0.0,0.0
2022-03-28 21:00:00,0.0,0.0
2022-03-28 22:00:00,0.0,0.0
2022-03-28 23:00:00,0.0,0.0
2022-03-29 00:00:00,0.0,0.0
2022-03-29 01:00:00,0.0,0.0
2022-03-29 02:00:00,0.0,0.0
2022-03-29 03:00:00,0.0,0.0
2022-03-29 04:00:00,0.0,0.0
2022-03-29 05:00:00,0.0,0.0
2022-03-29 06:00:00,0.0,0.0
2022-03-29 07:00:00,0.06975,69.75
2022-03-29 08:00:00,0.667,667.0
2022-03-29 09:00:00,3.948,3948.0
2022-03-29 10:00:00,11.20425,11204.25
2022-03-29 11:00:00,7.4995,7499.5
2022-03-29 12:00:00,5.163,5163.0
2022-03-29 13:00:00,8.75125,8751.25
2022-03-29 14:00:00,12.95925,12959.25
2022-03-29 15:00:00,6.9105,6910.5
2022-03-29 16:00:00,7.73775,7737.75
2022-03-29 17:00:00,2.98,2980.0
2022-03-29 18:00:00,1.45575,1455.75
2022-03-29 19:00:00,0.2005,200.5
2022-03-29 20:00:00,0.0,0.0
2022-03-29 21:00:00,0.0,0.0
2022-03-29 22:00:00,0.0,0.0
2022-03-29 23:00:00,0.0,0.0
2022-03-30 00:00:00,0.0,0.0
2022-03-30 01:00:00,0.0,0.0
2022-03-30 02:00:00,0.0,0.0
2022-03-30 03:00:00,0.0,0.0
2022-03-30 04:00:00,0.0,0.0
2022-03-30 05:00:00,0.0,0.0
2022-03-30 06:00:00,0.0,0.0
2022-03-30 07:00:00,0.23775,237.75
2022-03-30 08:00:00,1.55375,1553.75
2022-03-30 09:00:00,5.37125,5371.25
2022-03-30 10:00:00,9.5575,9557.5
2022-03-30 11:00:00,10.9245,10924.5
2022-03-30 12:00:00,17.61075,17610.75
2022-03-30 13:00:00,19.58125,19581.25
2022-03-30 14:00:00,18.77775,18777.75
2022-03-30 15:00:00,13.5345,13534.5
2022-03-30 16:00:00,6.72525,6725.25
2022-03-30 17:00:00,5.8675,5867.5
2022-03-30 18:00:00,2.17975,2179.75
2022-03-30 19:00:00,0.5355,535.5
2022-03-30 20:00:00,0.0,0.0
2022-03-30 21:00:00,0.0,0.0
2022-03-30 22:00:00,0.0,0.0
2022-03-30 23:00:00,0.0,0.0
2022-03-31 00:00:00,0.0,0.0
2022-03-31 01:00:00,0.0,0.0
2022-03-31 02:00:00,0.0,0.0
2022-03-31 03:00:00,0.0,0.0
2022-03-31 04:00:00,0.0,0.0
2022-03-31 05:00:00,0.0,0.0
2022-03-31 06:00:00,0.0,0.0
2022-03-31 07:00:00,0.4,400.0
2022-03-31 08:00:00,3.85125,3851.25
2022-03-31 09:00:00,9.39375,9393.75
2022-03-31 10:00:00,11.36675,11366.75
2022-03-31 11:00:00,7.23025,7230.25
2022-03-31 12:00:00,10.7555,10755.5
2022-03-31 13:00:00,8.028,8028.000000000001
2022-03-31 14:00:00,8.15075,8150.75
2022-03-31 15:00:00,12.3795,12379.5
2022-03-31 16:00:00,10.7805,10780.5
2022-03-31 17:00:00,10.50275,10502.75
2022-03-31 18:00:00,3.548,3548.0
2022-03-31 19:00:00,0.32375,323.75
2022-03-31 20:00:00,0.0,0.0
2022-03-31 21:00:00,0.0,0.0
2022-03-31 22:00:00,0.0,0.0
2022-03-31 23:00:00,0.0,0.0
2022-04-01 00:00:00,0.0,0.0
2022-04-01 01:00:00,0.0,0.0
2022-04-01 02:00:00,0.0,0.0
2022-04-01 03:00:00,0.0,0.0
2022-04-01 04:00:00,0.0,0.0
2022-04-01 05:00:00,0.0,0.0
2022-04-01 06:00:00,0.0,0.0
2022-04-01 07:00:00,0.0,0.0
2022-04-01 08:00:00,0.128,128.0
2022-04-01 09:00:00,0.474,474.0
2022-04-01 10:00:00,1.251,1251.0
2022-04-01 11:00:00,2.077,2077.0
2022-04-01 12:00:00,2.645,2645.0
2022-04-01 13:00:00,3.191,3191.0
2022-04-01 14:00:00,6.573,6573.0
2022-04-01 15:00:00,4.778,4778.0
2022-04-01 16:00:00,3.369,3369.0
2022-04-01 17:00:00,1.67,1670.0
2022-04-01 18:00:00,0.481,481.0
2022-04-01 19:00:00,0.048,48.0
2022-04-01 20:00:00,0.0,0.0
2022-04-01 21:00:00,0.0,0.0
2022-04-01 22:00:00,0.0,0.0
2022-04-01 23:00:00,0.0,0.0
2022-04-02 00:00:00,0.0,0.0
2022-04-02 01:00:00,0.0,0.0
2022-04-02 02:00:00,0.0,0.0
2022-04-02 03:00:00,0.0,0.0
2022-04-02 04:00:00,0.0,0.0
2022-04-02 05:00:00,0.0,0.0
2022-04-02 06:00:00,0.0,0.0
2022-04-02 07:00:00,0.032,32.0
2022-04-02 08:00:00,0.858,858.0
2022-04-02 09:00:00,1.885,1885.0
2022-04-02 10:00:00,3.749,3749.0
2022-04-02 11:00:00,5.139,5139.0
2022-04-02 12:00:00,7.406,7406.0
2022-04-02 13:00:00,9.201,9201.0
2022-04-02 14:00:00,8.074,8074.0
2022-04-02 15:00:00,5.772,5772.0
2022-04-02 16:00:00,3.83,3830.0
2022-04-02 17:00:00,4.192,4192.0
2022-04-02 18:00:00,1.234,1234.0
2022-04-02 19:00:00,0.146,146.0
2022-04-02 20:00:00,0.0,0.0
2022-04-02 21:00:00,0.0,0.0
2022-04-02 22:00:00,0.0,0.0
2022-04-02 23:00:00,0.0,0.0
2022-04-03 00:00:00,0.0,0.0
2022-04-03 01:00:00,0.0,0.0
2022-04-03 02:00:00,0.0,0.0
2022-04-03 03:00:00,0.0,0.0
2022-04-03 04:00:00,0.0,0.0
2022-04-03 05:00:00,0.0,0.0
2022-04-03 06:00:00,0.0,0.0
2022-04-03 07:00:00,0.199,199.0
2022-04-03 08:00:00,2.522,2522.0
2022-04-03 09:00:00,9.934,9934.0
2022-04-03 10:00:00,22.619,22619.0
2022-04-03 11:00:00,29.153,29153.0
2022-04-03 12:00:00,32.896,32896.0
2022-04-03 13:00:00,33.769,33769.0
2022-04-03 14:00:00,32.05,32050.0
2022-04-03 15:00:00,28.083,28083.0
2022-04-03 16:00:00,21.272,21272.0
2022-04-03 17:00:00,13.463,13463.0
2022-04-03 18:00:00,4.155,4155.0
2022-04-03 19:00:00,0.516,516.0
2022-04-03 20:00:00,0.0,0.0
2022-04-03 21:00:00,0.0,0.0
2022-04-03 22:00:00,0.0,0.0
2022-04-03 23:00:00,0.0,0.0
2022-04-04 00:00:00,0.0,0.0
2022-04-04 01:00:00,0.0,0.0
2022-04-04 02:00:00,0.0,0.0
2022-04-04 03:00:00,0.0,0.0
2022-04-04 04:00:00,0.0,0.0
2022-04-04 05:00:00,0.0,0.0
2022-04-04 06:00:00,0.0,0.0
2022-04-04 07:00:00,0.523,523.0
2022-04-04 08:00:00,4.795,4795.0
2022-04-04 09:00:00,13.425,13425.0
2022-04-04 10:00:00,22.953,22953.0
2022-04-04 11:00:00,29.47,29470.0
2022-04-04 12:00:00,32.646,32646.0
2022-04-04 13:00:00,33.345,33345.0
2022-04-04 14:00:00,32.38,32380.000000000004
2022-04-04 15:00:00,28.198,28198.0
2022-04-04 16:00:00,21.279,21279.0
2022-04-04 17:00:00,13.538,13538.0
2022-04-04 18:00:00,4.183,4183.0
2022-04-04 19:00:00,0.501,501.0
2022-04-04 20:00:00,0.0,0.0
2022-04-04 21:00:00,0.0,0.0
2022-04-04 22:00:00,0.0,0.0
2022-04-04 23:00:00,0.0,0.0
2022-04-05 00:00:00,0.0,0.0
2022-04-05 01:00:00,0.0,0.0
2022-04-05 02:00:00,0.0,0.0
2022-04-05 03:00:00,0.0,0.0
2022-04-05 04:00:00,0.0,0.0
2022-04-05 05:00:00,0.0,0.0
2022-04-05 06:00:00,0.0,0.0
2022-04-05 07:00:00,0.501,501.0
2022-04-05 08:00:00,5.318,5318.0
2022-04-05 09:00:00,13.066,13066.0
2022-04-05 10:00:00,21.787,21787.0
2022-04-05 11:00:00,27.948,27948.0
2022-04-05 12:00:00,31.323,31323.0
2022-04-05 13:00:00,32.731,32731.0
2022-04-05 14:00:00,30.872,30872.0
2022-04-05 15:00:00,27.111,27111.0
2022-04-05 16:00:00,20.124,20124.0
2022-04-05 17:00:00,12.049,12049.0
2022-04-05 18:00:00,3.851,3851.0
2022-04-05 19:00:00,0.55,550.0
2022-04-05 20:00:00,0.0,0.0
2022-04-05 21:00:00,0.0,0.0
2022-04-05 22:00:00,0.0,0.0
2022-04-05 23:00:00,0.0,0.0
2022-04-06 00:00:00,0.0,0.0
2022-04-06 01:00:00,0.0,0.0
2022-04-06 02:00:00,0.0,0.0
2022-04-06 03:00:00,0.0,0.0
2022-04-06 04:00:00,0.0,0.0
2022-04-06 05:00:00,0.0,0.0
2022-04-06 06:00:00,0.0,0.0
2022-04-06 07:00:00,0.576,576.0
2022-04-06 08:00:00,4.226,4226.0
2022-04-06 09:00:00,11.834,11834.0
2022-04-06 10:00:00,20.133,20133.0
2022-04-06 11:00:00,26.21,26210.0
2022-04-06 12:00:00,29.852,29852.0
2022-04-06 13:00:00,31.072,31072.0
2022-04-06 14:00:00,29.944,29944.0
2022-04-06 15:00:00,26.066,26066.0
2022-04-06 16:00:00,19.24,19240.0
2022-04-06 17:00:00,11.982,11982.0
2022-04-06 18:00:00,4.131,4131.0
2022-04-06 19:00:00,0.572,572.0
2022-04-06 20:00:00,0.0,0.0
2022-04-06 21:00:00,0.0,0.0
2022-04-06 22:00:00,0.0,0.0
2022-04-06 23:00:00,0.0,0.0
2022-04-07 00:00:00,0.0,0.0
2022-04-07 01:00:00,0.0,0.0
2022-04-07 02:00:00,0.0,0.0
2022-04-07 03:00:00,0.0,0.0
2022-04-07 04:00:00,0.0,0.0
2022-04-07 05:00:00,0.0,0.0
2022-04-07 06:00:00,0.0,0.0
2022-04-07 07:00:00,0.507,507.0
2022-04-07 08:00:00,4.107,4107.0
2022-04-07 09:00:00,11.227,11227.0
2022-04-07 10:00:00,19.812,19812.0
2022-04-07 11:00:00,25.79,25790.0
2022-04-07 12:00:00,29.618,29618.0
2022-04-07 13:00:00,30.987,30987.0
2022-04-07 14:00:00,29.673,29673.0
2022-04-07 15:00:00,25.365,25365.0
2022-04-07 16:00:00,18.389,18389.0
2022-04-07 17:00:00,11.538,11538.0
2022-04-07 18:00:00,4.151,4151.0
2022-04-07 19:00:00,0.774,774.0
2022-04-07 20:00:00,0.0,0.0
2022-04-07 21:00:00,0.0,0.0
2022-04-07 22:00:00,0.0,0.0
2022-04-07 23:00:00,0.0,0.0
2022-04-08 00:00:00,0.0,0.0
2022-04-08 01:00:00,0.0,0.0
2022-04-08 02:00:00,0.0,0.0
2022-04-08 03:00:00,0.0,0.0
2022-04-08 04:00:00,0.0,0.0
2022-04-08 05:00:00,0.0,0.0
2022-04-08 06:00:00,0.0,0.0
2022-04-08 07:00:00,0.696,696.0
